date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened,score
2015/10/5,orm,0.0025364266322142966,0.0052226833108240545,0.0023842652091359312,0.003151925784493567,0.0014930249678484831,0.0012202902368066773,0.0031788958150834284,0.08339872111521929
2015/10/15,orm,0.0015943418850972223,-0.0,0.0030288930155693665,0.003155273881949493,2.2075315223091104e-05,0.00036650919265546065,0.003609210701471107,0.03056540641395363
2015/10/25,orm,0.0013039802365023658,-0.0,0.0034398574968589586,0.0031527628936808254,0.0003111055666129294,0.0005228101939274269,0.003609210701471107,0.032330757431260654
2015/11/4,orm,0.0005048204223294812,-0.0,0.003640556579247294,0.0031527628936808254,0.0004099326358195071,-0.0,0.003609210701471107,0.029312767322968378
2015/11/14,orm,0.0012293852190689094,0.0016580067628985213,0.004789499381724896,0.0031402003067682073,0.0008974361905071164,0.0024222098921458544,0.0031788958150834284,0.05723485482065114
2015/11/24,orm,0.0021444611612503263,0.0016580067628985213,0.003640556579247294,0.003139362346978227,0.0011452031431609282,0.002534014102619268,0.0031788958150834284,0.056665191134619486
2015/12/4,orm,0.0028522602836311244,0.0016580067628985213,0.003838354336387765,0.003136848126415192,0.0011682312783393655,0.002862654041490351,0.0031788958150834284,0.0618402234557537
2015/12/14,orm,0.0034001929929033626,-0.0,0.003640556579247294,0.0031418760558617853,0.0014381402607475246,0.0023091740153309984,0.0031788958150834284,0.04950619680578253
2015/12/24,orm,0.003037646874578849,-0.0,0.005688372880301357,0.0031410382097232783,0.0012026071722249258,0.002644651532927376,0.0031788958150834284,0.058038480312303665
2016/1/3,orm,0.002472142250205297,-0.0,0.005862843064439106,0.0031443892535612,0.0010872292831274862,0.002534014102619268,0.0031788958150834284,0.055825298600255896
2016/1/13,orm,0.0009998282997612225,-0.0,0.004973063808088022,0.003151088618727165,0.00043744803335166974,0.001088466021026235,0.003609210701471107,0.04036090211853856
2016/1/23,orm,0.0006766653570592768,-0.0,0.003236049509956054,0.0031535999463071225,0.00028201885096741295,0.0005228101939274269,0.004026307363508977,0.031349912933292916
2016/2/2,orm,0.0016651517034617983,0.0016580067628985213,0.0028181083477254822,0.0031502513963634258,0.0006360765033175573,0.0021948339397981896,0.0031788958150834284,0.04877269410706923
2016/2/12,orm,0.0018738668160486961,0.0016580067628985213,0.002603364797385597,0.0031494141173841472,0.0007500736905033965,0.0023091740153309984,0.0031788958150834284,0.04950167428603663
2016/2/22,orm,0.002342362983612637,0.0016580067628985213,0.003236049509956054,0.0031485767817711107,0.0008610394651200583,0.0027541805720559514,0.0031788958150834284,0.056105222721148346
2016/3/3,orm,0.0024074586613513933,-0.0,0.0034398574968589586,0.0031494141173841472,0.0007375667646855929,0.0020791080498684285,0.004026307363508977,0.045550781391962995
2016/3/13,orm,0.0024074586613513933,-0.0,0.004225950783156726,0.0031502513963634258,0.0006360765033175573,0.0019619038249642,0.003609210701471107,0.0461977778949347
2016/3/23,orm,0.0019422930219036001,-0.0,0.004603863333532155,0.003151088618727165,0.0004916667605677844,0.0017226209749869597,0.003609210701471107,0.04471310704539916
2016/4/2,orm,0.0015943418850972223,-0.0,0.0034398574968589586,0.003151088618727165,0.00039606457959131495,0.0016002777627431017,0.003609210701471107,0.03782667727414783
2016/4/12,orm,0.003577711286722898,0.002963677590604535,0.003236049509956054,0.0031301410329256465,0.0010755630715038867,0.005416004697056847,0.004026307363508977,0.09156119739957905
2016/4/22,orm,0.004377676523040791,0.002963677590604535,0.0028181083477254822,0.0031276249319511173,0.0010638723490095333,0.006039931441230255,0.004026307363508977,0.09708460882978334
2016/5/2,orm,0.004488538787765984,0.002963677590604535,0.003838354336387765,0.0029365637719008524,0.007782298100573156,0.005506450314499557,0.003609210701471107,0.1208202027760129
2016/5/12,orm,0.004040194471876539,0.0016580067628985213,0.0030288930155693665,2.428812753823615e-06,0.04766356200606773,0.004388234612075013,0.003609210701471107,0.45604837569140894
2016/5/22,orm,0.0035188010148342387,0.0016580067628985213,0.002603364797385597,-0.0,0.04769904251738836,0.003493751215751861,0.0031788958150834284,0.44609027166851906
2016/6/1,orm,0.003636366090791567,0.004136361421290598,0.0014523989640025587,0.0003163327690051841,0.04623543259601456,0.003798165538886453,0.003609210701471107,0.4460469873782325
2016/6/11,orm,0.002472142250205297,0.002963677590604535,0.001695306386156395,0.003122591187489891,0.0013939193539374446,0.0013493373713439577,0.003609210701471107,0.05931710735164742
2016/6/21,orm,0.0021444611612503263,0.002963677590604535,0.0019309319398631431,0.0031200735430005847,0.001740371521139353,0.0016002777627431017,0.004026307363508977,0.06283641205034016
2016/7/1,orm,0.0012293852190689094,-0.0,0.003236049509956054,0.0031209128150843017,0.001928724697940242,0.0012202902368066773,0.002733140419148525,0.034545547803221555
2016/7/11,orm,0.0009998282997612225,-0.0,0.003640556579247294,0.003133495035527361,0.0015907771454916678,0.0008147544668663222,0.001781195993833021,0.029168726445794456
2016/7/21,orm,0.0024074586613513933,0.002963677590604535,0.003838354336387765,0.0031301410329256465,0.001315829160151346,0.0019619038249642,0.000695036506729929,0.058729310248523126
2016/7/31,orm,0.0025364266322142966,0.002963677590604535,0.0028181083477254822,0.0031376862568200945,0.001016857940744139,0.0018431154955961392,0.0022688177968095647,0.05929779903322466
2016/8/10,orm,0.00221087944803853,0.004136361421290598,0.004225950783156726,0.0031318181482645506,0.001214022449421903,0.0018431154955961392,0.0031788958150834284,0.07975029825796916
2016/8/20,orm,0.000759687556893775,0.0016580067628985213,0.004416051998026846,0.003136848126415192,0.00133823465868209,0.0005228101939274269,0.0031788958150834284,0.04717380965533725
2016/8/30,orm,0.00032246587455557853,0.0016580067628985213,0.004416051998026846,0.0031410382097232783,0.0010755630715038867,0.00036650919265546065,0.002733140419148525,0.04287048858025057
2016/9/9,orm,0.000591812251232738,-0.0,0.0030288930155693665,0.0031418760558617853,0.0008732027737660112,0.00036650919265546065,0.0022688177968095647,0.023768614848980393
2016/9/19,orm,0.0006766653570592768,-0.0,0.0028181083477254822,0.003146064434947128,0.0003680928184119155,0.00019861375469117814,0.002733140419148525,0.02328630351295046
2016/9/29,orm,0.0006766653570592768,-0.0,0.003640556579247294,0.0031469019405708475,0.00026730771294100527,0.00019861375469117814,0.002733140419148525,0.02634675867497116
2016/10/9,orm,0.0008411090053750889,-0.0,0.003236049509956054,0.0031485767817711107,0.0007250218696291514,0.00067158175185713,0.002733140419148525,0.027874848447497658
2016/10/19,orm,0.0006766653570592768,-0.0,0.003640556579247294,0.003146064434947128,0.0010404161062091432,0.00067158175185713,0.002733140419148525,0.029830082940499
2016/10/29,orm,0.0032202272301614116,-0.0,0.003838354336387765,0.0031410382097232783,0.001327041495251936,0.001088466021026235,0.0031788958150834284,0.04386075146016128
2016/11/8,orm,0.004321947557450437,0.0052226833108240545,0.0034398574968589586,0.0031385243303349796,0.0013828193008489145,0.0012202902368066773,0.003609210701471107,0.09629026987239886
2016/11/18,orm,0.005506024218512401,0.006244787047587865,0.0028181083477254822,0.003125108316972804,0.0017085553249829198,0.0024222098921458544,0.003609210701471107,0.11724410316974579
2016/11/28,orm,0.005191228160819217,0.006244787047587865,0.0021603236726894983,0.0031259472457746676,0.0015366313296980578,0.002534014102619268,0.003609210701471107,0.11338000455075194
2016/12/8,orm,0.005138207769184423,0.0016580067628985213,0.003640556579247294,0.003122591187489891,0.0012481415300603222,0.002644651532927376,0.003609210701471107,0.07168266230993055
2016/12/18,orm,0.004153530988441083,-0.0,0.003236049509956054,0.0031360099391018787,0.0007124382458490153,0.0014759173500981664,0.004026307363508977,0.048979523868129045
2016/12/28,orm,0.0022768414756839613,-0.0,0.003640556579247294,0.003139362346978227,0.0006231976417798946,0.0012202902368066773,0.0031788958150834284,0.03811966275598584
2017/1/7,orm,0.0006766653570592768,-0.0,0.003236049509956054,0.0031469019405708475,0.0004646865798886885,0.0005228101939274269,0.0031788958150834284,0.02806687636776653
2017/1/17,orm,0.00032246587455557853,-0.0,0.002603364797385597,0.0031485767817711107,0.000531687436374283,0.00036650919265546065,0.0031788958150834284,0.024252784593153567
2017/1/27,orm,0.00041525677703250005,-0.0,0.0030288930155693665,0.0031452268726166704,0.0008120634071260663,-0.0,0.004026307363508977,0.02940557856298354
2017/2/6,orm,0.003810846841594882,-0.0,0.0028181083477254822,0.0031284636893627884,0.0017297801878941453,0.0023091740153309984,0.004026307363508977,0.05243168228252759
2017/2/16,orm,0.003925976915878483,-0.0,0.003640556579247294,0.003125108316972804,0.001803630416361487,0.0023091740153309984,0.003609210701471107,0.054567036465712496
2017/2/26,orm,0.003810846841594882,-0.0,0.0034398574968589586,0.003125108316972804,0.0017191748233154358,0.002534014102619268,0.0031788958150834284,0.05226092188435046
2017/3/8,orm,0.0009998282997612225,-0.0,0.003838354336387765,0.0031402003067682073,0.0009335605229069953,0.00067158175185713,0.0022688177968095647,0.02949634564569061
2017/3/18,orm,0.0014506671981480768,-0.0,0.004973063808088022,0.003139362346978227,0.0012594730611913177,0.0013493373713439577,0.001781195993833021,0.03760512658487246
2017/3/28,orm,0.0024074586613513933,-0.0,0.004973063808088022,0.003133495035527361,0.001315829160151346,0.0017226209749869597,0.0022688177968095647,0.04461864605156855
2017/4/7,orm,0.002472142250205297,-0.0,0.004033432345725354,0.0031301410329256465,0.0013939193539374446,0.0019619038249642,0.002733140419148525,0.04390482692627707
2017/4/17,orm,0.002663845467320155,-0.0,0.0030288930155693665,0.0031301410329256465,0.0010872292831274862,0.0017226209749869597,0.003609210701471107,0.04229624871388581
2017/4/27,orm,0.005031673594135607,-0.0,0.0028181083477254822,0.0031183948269781427,0.0016338141632870381,0.00409613664630477,0.0031788958150834284,0.0630272163316288
2017/5/7,orm,0.005085023622558888,-0.0,0.003640556579247294,0.003123430287848994,0.0013828193008489145,0.003697441348833422,0.0031788958150834284,0.06366798833902862
2017/5/17,orm,0.006169983564320967,-0.0,0.003838354336387765,0.003119234213638081,0.0016123261486746922,0.004388234612075013,0.0031788958150834284,0.07402564779474183
2017/5/27,orm,0.003459630060779848,-0.0,0.003640556579247294,0.0031293023896814603,0.0014050013104347093,0.0020791080498684285,0.002733140419148525,0.04672047173912905
2017/6/6,orm,0.003636366090791567,-0.0,0.0030288930155693665,0.003078878676110653,0.003236345985243295,0.002862654041490351,0.0022688177968095647,0.05260037447971174
2017/6/16,orm,0.0031596665322932275,-0.0,0.002603364797385597,0.0030578071861684683,0.004000577209513478,0.003697441348833422,0.001781195993833021,0.054166516040118975
2017/6/26,orm,0.003459630060779848,-0.0,0.0028181083477254822,0.003054432351545589,0.004198135282322801,0.003997491516622122,0.002733140419148525,0.062214807313170785
2017/7/6,orm,0.0027898037881977536,-0.0,0.0034398574968589586,0.003098232309217388,0.002855461740050911,0.003493751215751861,0.003609210701471107,0.05836591485860094
2017/7/16,orm,0.0013777231194450992,-0.0,0.003236049509956054,0.003123430287848994,0.0016659338922809799,0.0021948339397981896,0.004026307363508977,0.044120397399521
2017/7/26,orm,0.000591812251232738,-0.0,0.0030288930155693665,0.0031301410329256465,0.0011452031431609282,0.0017226209749869597,0.004026307363508977,0.037256691633217764
2017/8/5,orm,0.0008411090053750889,-0.0,0.0021603236726894983,0.0031360099391018787,0.0008974361905071164,0.0019619038249642,0.004026307363508977,0.03514863294988765
2017/8/15,orm,0.0008411090053750889,-0.0,0.0019309319398631431,0.0031318181482645506,0.001460145402980911,0.0014759173500981664,0.004026307363508977,0.033671091896869704
2017/8/25,orm,0.001077385506708638,-0.0,0.0030288930155693665,0.0031293023896814603,0.002102929189032626,0.0012202902368066773,0.003609210701471107,0.03745374871499553
2017/9/4,orm,0.0015943418850972223,-0.0,0.0030288930155693665,0.0031276249319511173,0.002102929189032626,0.0013493373713439577,0.002733140419148525,0.03601325843391268
2017/9/14,orm,0.0020775697092373425,-0.0,0.0034398574968589586,0.0031284636893627884,0.0019390671080187817,0.0017226209749869597,0.002733140419148525,0.04048310241849124
2017/9/24,orm,0.0020775697092373425,-0.0,0.0023842652091359312,0.0031343333936763858,0.0011911703800621643,0.0018431154955961392,0.0031788958150834284,0.03664070044385417
2017/10/4,orm,0.002342362983612637,-0.0,0.0021603236726894983,0.0031276249319511173,0.0017931212006574006,0.0020791080498684285,0.004026307363508977,0.043252707505915006
2017/10/14,orm,0.0024074586613513933,-0.0,0.0028181083477254822,0.0031293023896814603,0.0016123261486746922,0.0021948339397981896,0.003609210701471107,0.04413084432660799
2017/10/24,orm,0.003037646874578849,-0.0,0.003236049509956054,0.0031209128150843017,0.001918369954612214,0.0024222098921458544,0.003609210701471107,0.05017009937973532
2017/11/3,orm,0.003636366090791567,-0.0,0.003838354336387765,0.003122591187489891,0.001761512495973507,0.0019619038249642,0.0031788958150834284,0.05057966186438034
2017/11/13,orm,0.00369477043686172,-0.0,0.0034398574968589586,0.0031267861174279227,0.001525754285243203,0.0016002777627431017,0.0022688177968095647,0.043199236241800776
2017/11/23,orm,0.00651816918855792,0.004136361421290598,0.003236049509956054,0.003095709660265066,0.0036149360389873112,0.005233718626378011,0.0022688177968095647,0.11604766080557709
2017/12/3,orm,0.005349327278152639,0.004136361421290598,0.003838354336387765,0.0031007544382617128,0.0033093122556502393,0.0050495051149889985,0.002733140419148525,0.11263301867729827
2017/12/13,orm,0.004870606096852232,0.004136361421290598,0.003838354336387765,0.0030973914840261184,0.0034540161460595805,0.005416004697056847,0.003609210701471107,0.11679263839322811
2017/12/23,orm,0.0024074586613513933,-0.0,0.004789499381724896,0.003121752029907863,0.0018872309294068416,0.002970119955548305,0.0022688177968095647,0.05139894515916459
2018/1/2,orm,0.003037646874578849,-0.0,0.004225950783156726,0.0031133573027267384,0.002283876427646918,0.00409613664630477,0.00126224095593232,0.054856633493477136
2018/1/12,orm,0.006220105095434775,0.006244787047587865,0.004225950783156726,0.0031041164691254356,0.0026266047674856777,0.004579942574889019,0.001781195993833021,0.13320814222129024
2018/1/22,orm,0.008717653242017934,0.006244787047587865,0.003640556579247294,0.003098232309217388,0.0028081644910732985,0.004863276492847094,0.0022688177968095647,0.1476570934682758
2018/2/1,orm,0.008628323555307914,0.006244787047587865,0.004033432345725354,0.003104956832706307,0.0026073183791161356,0.004388234612075013,0.002733140419148525,0.14729244571745523
2018/2/11,orm,0.005968180519044828,-0.0,0.004225950783156726,0.003094868661657316,0.0029494813894387914,0.003493751215751861,0.002733140419148525,0.07209468646146064
