date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_merged,score,req_opened,other
2013-09-15,youtube-dl,0.000986197773463148,0.000791679633284505,-0.0,0.004404703859804211,0.0008125742501214581,0.0009611697030037831,0.0005738220892704768,0.02883048490565121,0.003512452556142318,0.0005738220892704768
2013-09-25,youtube-dl,0.0007800370807048642,-0.0,-0.0,0.0044114590934263755,0.0008779275311095964,0.0005921546205505346,-0.0,0.019019229284420423,0.0035779281923564122,-0.0
2013-10-05,youtube-dl,0.0020624916469148256,0.00030313956051594525,-0.0,0.004330201535065171,0.0010340790899723013,0.001630746278287461,-0.0,0.03041387120259024,0.0035779281923564122,-0.0
2013-10-15,youtube-dl,0.0029094937077602714,0.000791679633284505,-0.0,0.004336989331212687,0.0008562456610445601,0.0019433800737630159,-0.0,0.038668455956746846,0.0035779281923564122,-0.0
2013-10-25,youtube-dl,0.0035628245806179374,0.004239762980679095,-0.0,0.004330201535065171,0.0006102542546090652,0.002045082781186186,-0.0,0.06369022427604673,0.0035779281923564122,-0.0
2013-11-04,youtube-dl,0.002634626313513999,0.006023623088228381,-0.0,0.0044855747029113446,-0.0,0.00046066189219126554,-0.0,0.06536339057749987,0.0035779281923564122,-0.0
2013-11-14,youtube-dl,0.0026836241503467055,0.006304445371297582,-0.0,0.004451929226820962,0.00033688162511140456,0.0008415915828001955,-0.0,0.06926772305398685,0.0035779281923564122,-0.0
2013-11-24,youtube-dl,0.002568951006008447,0.0037611202642252625,-0.0,0.004458664088530454,0.00042012212282063033,0.0013047194891448166,-0.0,0.051280982003087706,0.0035779281923564122,-0.0
2013-12-04,youtube-dl,0.002165906875987127,0.0014347891291559675,-0.0,0.004445191471137358,0.0004768245908918689,0.0010779996389912885,-0.0,0.034011128794357956,0.0035779281923564122,-0.0
2013-12-14,youtube-dl,0.0015628619968636487,0.0005567557418942097,-0.0,0.004458664088530454,0.00028540486363433083,0.0008415915828001955,-0.0,0.02491751109387219,0.0035779281923564122,-0.0
2013-12-24,youtube-dl,0.0009047949661278845,-0.0,-0.0,0.004478851363505953,0.00028540486363433083,-0.0,-0.0,0.017340325508273836,0.0035779281923564122,-0.0
2014-01-03,youtube-dl,0.001654374321712834,-0.0,-0.0,0.004397945693985586,0.00042012212282063033,0.0010779996389912885,-0.0,0.024021361362800572,0.0035779281923564122,-0.0
2014-01-13,youtube-dl,0.0017985966702194944,-0.0,-0.0,0.004397945693985586,0.000579343225189397,0.0013047194891448166,-0.0,0.025827768762895074,0.0035779281923564122,-0.0
2014-01-23,youtube-dl,0.0018164451435282011,-0.0,-0.0,0.0044114590934263755,0.0004928192654226659,0.0011924268521618837,-0.0,0.02549174262732304,0.0035779281923564122,-0.0
2014-02-02,youtube-dl,0.0011256968420083379,0.00030313956051594525,-0.0,0.004525854710666917,0.00020538076173805332,0.00046066189219126554,-0.0,0.020405300722399905,0.0035779281923564122,-0.0
2014-02-12,youtube-dl,0.0011453446821718368,0.00030313956051594525,-0.0,0.004499012785171852,0.0002679415724706662,0.0009611697030037831,-0.0,0.021685031274029886,0.0035779281923564122,-0.0
2014-02-22,youtube-dl,0.0013763196834599002,0.00030313956051594525,-0.0,0.004478851363505953,0.00020538076173805332,0.001630746278287461,-0.0,0.024498495411649394,0.0035779281923564122,-0.0
2014-03-04,youtube-dl,0.00211434311565065,0.000791679633284505,-0.0,0.004350555963489208,0.0005637825491484299,0.002145657099576762,-0.0,0.03316062681246929,0.0035779281923564122,-0.0
2014-03-14,youtube-dl,0.0027486189505915226,0.000791679633284505,0.00010555792539272994,0.004350555963489208,0.0006637151070963941,0.0017362976023154503,-0.0,0.036755382714749055,0.0035779281923564122,-0.0
2014-03-24,youtube-dl,0.002813240118055398,0.0012282234891458769,0.00010555792539272994,0.004316616953959702,0.0008779275311095964,0.001630746278287461,-0.0,0.03956929512188403,0.0035779281923564122,-0.0
2014-04-03,youtube-dl,0.002268203402534005,0.0022088300826033497,0.00010555792539272994,0.0043844205435663195,0.0007462487914025952,0.0009611697030037831,-0.0,0.03948162709348521,0.0035779281923564122,-0.0
2014-04-13,youtube-dl,0.0012038982282308527,0.0022088300826033497,-0.0,0.004431707256230773,0.00030270933643605015,0.0007188032458910211,-0.0,0.031205875803855945,0.0035779281923564122,-0.0
2014-04-23,youtube-dl,0.001184444108809727,0.0029240822780058164,-0.0,0.004451929226820962,0.0003283903603828247,0.0005921546205505346,-0.0,0.035266345989604764,0.0035779281923564122,-0.0
2014-05-03,youtube-dl,0.003713666378581434,0.0032654848358493384,-0.0,0.004303020349124427,0.0009990051554265875,0.002145657099576762,-0.0,0.05947081254448087,0.0035779281923564122,-0.0
2014-05-13,youtube-dl,0.005374590299157258,0.0034327602667844773,-0.0,0.0040007544697149905,0.0019150098527044147,0.002915986349718135,-0.0,0.07780725346662862,0.0035779281923564122,-0.0
2014-05-23,youtube-dl,0.006089552739032481,0.003095975226120977,-0.0,0.0038472608923198577,0.002133998774741725,0.003008604083249914,-0.0,0.0823120025340392,0.0035779281923564122,-0.0
2014-06-02,youtube-dl,0.0050337031674027085,0.0012282234891458769,-0.0,0.003755777754079096,0.0020736980347768525,0.002537832121845692,-0.0,0.060880149671348825,0.0035779281923564122,-0.0
2014-06-12,youtube-dl,0.0037286600088982254,0.001014464725513058,-0.0,0.003917233570517788,0.0015947949006245793,0.0017362976023154503,-0.0,0.046326246969611906,0.0035779281923564122,-0.0
