date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_merged,score,req_opened,other
2013-09-15,EventBus,0.006847775150139221,-0.0,0.0005192720647184312,0.0035271223799730775,-0.0,0.0041967577205786625,0.007449373263232647,0.11949563318490847,0.0026235095180051032,0.007449373263232647
2013-09-25,EventBus,0.004207010940556593,-0.0,0.00042719260232414343,0.0035271223799730775,-0.0,-0.0,-0.0,0.022543902629521946,0.0033296535732125158,-0.0
2013-10-05,EventBus,0.0036241195838426442,-0.0,0.0006086952249817618,0.0035271223799730775,-0.0,-0.0,-0.0,0.020232576680943685,0.0033296535732125158,-0.0
2013-10-15,EventBus,0.0036241195838426442,-0.0,0.0006086952249817618,0.0035271223799730775,-0.0,-0.0,-0.0,0.020232576680943685,0.0033296535732125158,-0.0
2013-10-25,EventBus,0.0009336414652595391,-0.0,0.00042719260232414343,0.0035271223799730775,-0.0,-0.0,-0.0,0.009256094689040909,0.0033296535732125158,-0.0
2013-11-04,EventBus,0.0009336414652595391,-0.0,0.00012508631917582466,0.0035271223799730775,-0.0,-0.0,-0.0,0.008736741229763988,0.0033296535732125158,-0.0
2013-11-14,EventBus,-0.0,-0.0,-0.0,0.0034389686032063383,0.0013196954907410434,-0.0,-0.0,0.009390990508544552,0.0033296535732125158,-0.0
2013-11-24,EventBus,0.0023733039394265936,-0.0,-0.0,0.0033502203591916054,0.0029485079100600043,-0.0,-0.0,0.023006377814612233,0.0033296535732125158,-0.0
2013-12-04,EventBus,0.004207010940556593,-0.0,0.00042719260232414343,0.003260858465014222,0.0031349989194287228,-0.0,-0.0,0.03227943073771474,0.0033296535732125158,-0.0
2013-12-14,EventBus,0.00531074396888994,-0.0,0.0005192720647184312,0.003260858465014222,0.003854925266734583,0.0041967577205786625,-0.0,0.05255209149681965,0.0033296535732125158,-0.0
2013-12-24,EventBus,0.004207010940556593,-0.0,0.000695909403810774,0.0033502203591916054,0.0023700367247024333,0.0041967577205786625,-0.0,0.041940501418366125,0.0033296535732125158,-0.0
2014-01-03,EventBus,0.0023733039394265936,-0.0,0.00042719260232414343,0.0034389686032063383,0.0021698814644689796,0.0041967577205786625,-0.0,0.03284056631502259,0.0033296535732125158,-0.0
2014-01-13,EventBus,0.0009336414652595391,-0.0,0.00042719260232414343,0.0035271223799730775,-0.0,-0.0,-0.0,0.009256094689040909,0.0033296535732125158,-0.0
2014-01-23,EventBus,-0.0,-0.0,0.00033177986538306407,0.0035271223799730775,-0.0,-0.0,-0.0,0.006425415281185728,0.0033296535732125158,-0.0
2014-02-02,EventBus,0.0009336414652595391,-0.0,0.0009471032864629185,0.0035271223799730775,-0.0,-0.0,0.007449373263232647,0.0818782184464455,0.0026235095180051032,0.007449373263232647
2014-02-12,EventBus,0.0009336414652595391,-0.0,0.0009471032864629185,0.0035271223799730775,-0.0,0.0041967577205786625,0.007449373263232647,0.09378560640274128,0.0026235095180051032,0.007449373263232647
2014-02-22,EventBus,0.0009336414652595391,-0.0,0.0009471032864629185,0.0035271223799730775,-0.0,0.0041967577205786625,0.007449373263232647,0.09378560640274128,0.0026235095180051032,0.007449373263232647
2014-03-04,EventBus,-0.0,-0.0,0.000864902319715963,0.0035271223799730775,-0.0,0.0041967577205786625,-0.0,0.01937151015603534,0.0033296535732125158,-0.0
2014-03-14,EventBus,0.0009336414652595391,-0.0,0.001107661438394791,0.0035271223799730775,-0.0,-0.0,-0.0,0.010641037247112699,0.0033296535732125158,-0.0
2014-03-24,EventBus,0.001687417284420214,-0.0,0.001107661438394791,0.0035271223799730775,-0.0,-0.0,-0.0,0.013298598835208906,0.0033296535732125158,-0.0
2014-04-03,EventBus,0.001687417284420214,-0.0,0.0010279828331732704,0.0035271223799730775,-0.0,-0.0,-0.0,0.013125481015449933,0.0033296535732125158,-0.0
2014-04-13,EventBus,0.0009336414652595391,-0.0,0.0010279828331732704,0.0035271223799730775,-0.0,-0.0,-0.0,0.010467919427353726,0.0033296535732125158,-0.0
2014-04-23,EventBus,-0.0,-0.0,0.0013404207334332446,0.0035271223799730775,-0.0,-0.0,-0.0,0.008502829118293413,0.0033296535732125158,-0.0
2014-05-03,EventBus,-0.0,-0.0,0.0009471032864629185,0.0035271223799730775,-0.0,-0.0,-0.0,0.007637240019498544,0.0033296535732125158,-0.0
2014-05-13,EventBus,-0.0,-0.0,0.0010279828331732704,0.0035271223799730775,-0.0,-0.0,-0.0,0.007810357839257518,0.0033296535732125158,-0.0
2014-05-23,EventBus,-0.0,-0.0,0.0012638016274580262,0.0035271223799730775,-0.0,-0.0,-0.0,0.00832971129853444,0.0033296535732125158,-0.0
2014-06-02,EventBus,-0.0,-0.0,0.00118623942392431,0.0035271223799730775,-0.0,-0.0,-0.0,0.008156593478775466,0.0033296535732125158,-0.0
2014-06-12,EventBus,0.0009336414652595391,-0.0,0.0012638016274580262,0.0035271223799730775,-0.0,-0.0,-0.0,0.010987272886630647,0.0033296535732125158,-0.0
2014-06-22,EventBus,0.0023733039394265936,-0.0,0.001107661438394791,0.0035271223799730775,-0.0,-0.0,-0.0,0.01595616042330511,0.0033296535732125158,-0.0
2014-07-02,EventBus,0.004207010940556593,-0.0,0.0017113248869779492,0.0035271223799730775,-0.0,-0.0,-0.0,0.025313787745665527,0.0033296535732125158,-0.0
2014-07-12,EventBus,0.0036241195838426442,-0.0,0.0017113248869779492,0.0035271223799730775,-0.0,-0.0,-0.0,0.02265622615756932,0.0033296535732125158,-0.0
