date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_merged,score,req_opened,other
2013-09-15,aws-cli,0.0022774462988370088,-0.0,0.0007936111394750095,0.003408169487018817,0.0009279600739917629,0.0025113615476258836,0.0027249773506025595,0.04945303873266484,0.003276784194602361,0.0027249773506025595
2013-09-25,aws-cli,0.002325017574826067,-0.0,0.0006540530508524833,0.003460049815683528,0.0004659677347831189,0.0019732594990526367,-0.0,0.017862018308631877,0.003500153732598041,-0.0
2013-10-05,aws-cli,0.003102948854293648,-0.0,0.0010604856758547566,0.003454870951673742,0.0004659677347831189,0.0021106489221405216,-0.0,0.021754582320214915,0.003500153732598041,-0.0
2013-10-15,aws-cli,0.0028796508211045243,-0.0,0.0015597289828809416,0.0034237550581765162,0.0007732179461569471,0.0025113615476258836,-0.0,0.025652793243398486,0.003500153732598041,-0.0
2013-10-25,aws-cli,0.003191131311242739,-0.0,0.0015597289828809416,0.003392565363295318,0.0011332232342269322,0.003271004073928301,-0.0,0.030163415034737642,0.003500153732598041,-0.0
2013-11-04,aws-cli,0.0030141283256441176,-0.0,0.001679104247553593,0.003392565363295318,0.0010964706703355932,0.003271004073928301,-0.0,0.030233907121184195,0.003500153732598041,-0.0
2013-11-14,aws-cli,0.0037079287176187306,0.010035000879522018,0.0013149186491042155,0.003418561922836212,0.0008897509053245325,0.003271004073928301,-0.0,0.11897185629174498,0.003500153732598041,-0.0
2013-11-24,aws-cli,0.0034520562842249914,0.022444593397295903,0.0013149186491042155,0.003439322179269823,0.0007534945750361094,0.0025113615476258836,-0.0,0.29371643564446004,0.003500153732598041,-0.0
2013-12-04,aws-cli,0.0032786969735671056,0.031471176570403964,0.0007936111394750095,0.0034652266557863402,0.0007137663566903536,0.0021106489221405216,-0.0,0.4681164508041529,0.003500153732598041,-0.0
2013-12-14,aws-cli,0.0019376160220269144,0.027251523211818493,0.0006540530508524833,0.0034652266557863402,0.0008318574640453348,0.001399825722143555,-0.0,0.3731365696152715,0.003500153732598041,-0.0
2013-12-24,aws-cli,0.0010465925621997846,0.016847881682476643,0.00035679115233645423,0.0035014081739880984,0.00042271171403578296,0.0004220289047011954,-0.0,0.18783592780415256,0.003500153732598041,-0.0
2014-01-03,aws-cli,0.002419488588709035,-0.0,0.00035679115233645423,0.0034962453991259712,0.00031119060258414207,0.001399825722143555,-0.0,0.014665915322728084,0.003500153732598041,-0.0
2014-01-13,aws-cli,0.002834480172180974,-0.0,0.00035679115233645423,0.0034859138503917928,0.0001683374451593567,0.0016917767669248043,-0.0,0.016276929418396965,0.003500153732598041,-0.0
2014-01-23,aws-cli,0.003750113579786507,0.022444593397295903,-0.0,0.0034704014756553364,0.00035644360515028526,0.0023795662951838366,-0.0,0.2880020265935929,0.003500153732598041,-0.0
2014-02-02,aws-cli,0.0026058865155389006,0.022444593397295903,0.00019327788962333344,0.0032723060834597053,0.0019763248949273295,0.0012491452198309953,-0.0,0.2858974055708136,0.003500153732598041,-0.0
2014-02-12,aws-cli,0.0028796508211045243,0.022444593397295903,0.0006540530508524833,0.002490939389654914,0.005484401384876622,0.0012491452198309953,-0.0,0.2991298429567399,0.003500153732598041,-0.0
2014-02-22,aws-cli,0.00237236321366977,-0.0,0.0006540530508524833,0.0023095407477011255,0.006099845086844734,0.0012491452198309953,-0.0,0.03227990733893369,0.003500153732598041,-0.0
2014-03-04,aws-cli,0.0017879182737253864,-0.0,0.000509069942619036,0.0023836235247727184,0.005358793521898486,0.001399825722143555,-0.0,0.02830520936900409,0.003500153732598041,-0.0
2014-03-14,aws-cli,0.0011024711636531909,-0.0,0.000509069942619036,0.003124351527458394,0.0022018738892837825,0.0007719853352370842,-0.0,0.015154590944588047,0.003500153732598041,-0.0
2014-03-24,aws-cli,0.0017879182737253864,-0.0,0.0007936111394750095,0.003214388850071239,0.0021540004949291806,0.0007719853352370842,-0.0,0.01751036095412818,0.003500153732598041,-0.0
2014-04-03,aws-cli,0.0036656153762422462,-0.0,0.0013149186491042155,0.00326179533446274,0.0023754203510280647,0.0016917767669248043,-0.0,0.027519707006532754,0.003500153732598041,-0.0
2014-04-13,aws-cli,0.0037079287176187306,-0.0,0.0013149186491042155,0.003214388850071239,0.0031306020966676766,0.0030231911630230752,-0.0,0.034804853915444446,0.003500153732598041,-0.0
2014-04-23,aws-cli,0.00237236321366977,-0.0,0.0015597289828809416,0.0032933016270681728,0.0025614187447693336,0.0026415310750451336,-0.0,0.029750705954376448,0.003500153732598041,-0.0
2014-05-03,aws-cli,0.00044690944436524875,-0.0,0.0013149186491042155,0.0033873598480475354,0.0018943836529956304,0.001399825722143555,-0.0,0.018704668415562745,0.003500153732598041,-0.0
2014-05-13,aws-cli,-0.0,-0.0,0.0009288460045074342,0.003491080625791996,0.0007534945750361094,-0.0,-0.0,0.009607548491998257,0.003500153732598041,-0.0
2014-05-23,aws-cli,0.002084787500534186,-0.0,0.0009288460045074342,0.003434135182631853,0.0016436430816293651,0.0010947384607742784,-0.0,0.018388703423597674,0.003500153732598041,-0.0
2014-06-02,aws-cli,0.00237236321366977,-0.0,0.0007936111394750095,0.003371730826140723,0.001992621821258419,0.0018337013409187436,-0.0,0.02181273703658144,0.003500153732598041,-0.0
2014-06-12,aws-cli,0.0034520562842249914,-0.0,0.0006540530508524833,0.0033665169804626928,0.001828263856840212,0.0018337013409187436,-0.0,0.023202899048453764,0.003500153732598041,-0.0
