date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_merged,req_opened,other,score
2013-09-15,redis,0.003986124562178674,0.007356554698128002,0.0003856644962312276,0.0032456952318887376,0.00143661903709128,0.002333005853570834,-0.0,0.0037352793307870538,-0.0,0.13855921885249828
2013-09-25,redis,0.004211653895256129,0.005854609312327867,0.00029938109683496457,0.00322491601805017,0.0014143659528661433,0.0015166845963136032,-0.0,0.0037352793307870538,-0.0,0.11876099574658786
2013-10-05,redis,0.0033269326386085804,0.0013257896056968798,0.00029938109683496457,0.0032456952318887376,0.0009277645838423171,0.0016584191643155186,-0.0,0.0037352793307870538,-0.0,0.0697652193380311
2013-10-15,redis,0.004360150409135815,0.002380765699106506,0.00011269212269913465,0.003280251616331699,0.0009034937236088087,0.0013721193946716827,-0.0,0.0037352793307870538,-0.0,0.0850860112687762
2013-10-25,redis,0.0046166544228605525,0.002380765699106506,0.0002548356819024371,0.0032318462274361667,0.0016338465844059381,0.0022020283380543163,-0.0,0.0037352793307870538,-0.0,0.09950425787741297
2013-11-04,redis,0.004023952642560021,0.003333524924594813,0.0003429435434993098,0.0032318462274361667,0.0016984540251794706,0.0019344807776855695,0.0013652891990210809,0.0034976797824150083,0.0013652891990210809,0.12296465177244179
2013-11-14,redis,0.0032071420084227235,0.002380765699106506,0.0003856644962312276,0.0032456952318887376,0.0016338465844059381,0.002069233337231289,0.0013652891990210809,0.0034976797824150083,0.0013652891990210809,0.107721880168174
2013-11-24,redis,0.0028406093309059897,0.003333524924594813,0.0004689813672015547,0.0033009404890639027,0.0011179422495337166,0.0010729722213700462,0.0013652891990210809,0.0034976797824150083,0.0013652891990210809,0.10160944563088078
2013-12-04,redis,0.0026739428072788513,0.002380765699106506,0.0003856644962312276,0.003294047922384565,0.001071020840172221,0.0012243679736422969,-0.0,0.0037352793307870538,-0.0,0.06895871077188759
2013-12-14,redis,0.0021577058684152453,0.002380765699106506,0.0003856644962312276,0.003273347857973053,0.002278784731353705,0.0009173194425971439,-0.0,0.0037352793307870538,-0.0,0.06940294235820235
2013-12-24,redis,0.0020242908206879497,0.0042199043736385064,-0.0,0.0032664403499886342,0.0022586798696773275,0.0010729722213700462,-0.0,0.0037352793307870538,-0.0,0.08193169635706606
2014-01-03,redis,0.0031266427571091365,0.0042199043736385064,0.0001618975473984781,0.00322491601805017,0.0030156379954806643,0.0013721193946716827,-0.0,0.0037352793307870538,-0.0,0.10085233690647531
2014-01-13,redis,0.0036410929611492026,0.00806904309629696,0.00020910824675694152,0.0032456952318887376,0.0026146057990598503,0.0015166845963136032,-0.0,0.0037352793307870538,-0.0,0.1425390810941452
2014-01-23,redis,0.0036798519663659196,0.005056924271847158,0.0005097249842159479,0.003204102442094574,0.0035304545083682196,0.0016584191643155186,-0.0,0.0037352793307870538,-0.0,0.12234640966729364
