commits,commit_count,forks,issue,issue_comment,req_closed,req_opened
0.05212045076463801,0.2664142305840259,0.07497003298791317,0.0044724771745886845,0.10903942977565599,0.1622357879204612,0.33074758748524113
0.03710485832272478,0.24331974362244654,0.09852811414803143,0.007773378207516546,0.1497370847190659,0.1579374333837826,0.3055993845404384
0.09978374603478635,0.3655258864288776,0.07150046115522611,0.005393474373492544,0.2113732373567425,0.241847241417186,0.00457594864283745
0.0664304434681151,0.26007320661819394,0.09313537658833493,0.006367188270504168,0.13451203955853003,0.179408535512744,0.26007320738284584
0.04708834469343593,0.2296574415626624,0.0861567470481946,0.004920235642943506,0.12922140186466083,0.16919656746451167,0.33375925838599846
0.06924544658942816,0.32504091148639774,0.04392054577896587,0.006890578888702681,0.0800693613225031,0.1497922402415294,0.32504091244206385
0.033113146152662136,0.4251907920786653,0.06743827751805312,0.012470688717485771,0.22470098848490647,0.23158880124456524,0.005497300288458066
0.07092742165734021,0.2754381555738321,0.05798069732509267,0.016794039813466975,0.10555498517863565,0.12815431187051973,0.3451503851296088
0.08029902971307473,0.3755730102828361,0.09805819923121147,0.009226334270361914,0.19301518450394364,0.23912651061729964,0.00470172666423317
0.13967480301177757,0.26105415733683496,0.09434673070179976,0.011516095898946359,0.18833006162750113,0.3013061535460007,0.003771994092860691
0.10317103439745898,0.41054444601538015,0.07361884328333133,0.006228095791309203,0.22417441553717757,0.17817104370334658,0.00409211716655177
0.13013569811830952,0.4229570105559612,0.0841520446616844,0.017389655747307158,0.1336840951217197,0.20746565170859665,0.004215839856851181
0.07729447242001461,0.28511104772658424,0.04492792112416898,0.006314891427660704,0.108222576171858,0.1930180397137521,0.2851110485648509
0.07326531501773838,0.3116645375931522,0.0618689048830612,0.005993740436381798,0.12521839272237356,0.11032456772115763,0.3116645385094899
0.05661336176937594,0.25991151251965805,0.023147310252092247,0.005818310910081294,0.15332144828149533,0.1759797084603284,0.3252083445548854
0.08661736484147904,0.2683796729957142,0.03468099939691836,0.011291717626482761,0.1673896924809012,0.1632608769789935,0.2683796729957142
0.06561052223775717,0.500403709598317,0.041335609084243136,0.015616488772046976,0.15615210871141535,0.21589376384494793,0.0049877927472353175
0.07876263145449747,0.4988062784681997,0.07359597731286599,0.009756444928336003,0.18629428863831646,0.14781250391720077,0.004971870292520897
0.05525849939046777,0.2586954700158347,0.029934865894269167,0.009733459385269552,0.11921201505812697,0.16150722627720715,0.36565846032224
0.09400911456176819,0.23512497567525126,0.03332899062039883,0.005869899125567689,0.13575447451903305,0.14860444347632823,0.3473080985485718
0.13594680982095503,0.4176446195626281,0.05549935558659673,0.013687371157085656,0.16665589305422798,0.1976283684680748,0.012937578173985453
0.06592528067870611,0.30954489249223566,0.04528833047828316,0.009889082678340896,0.1448735229351282,0.11493399514962155,0.30954489249223566
0.12252970572571395,0.3996660399113168,0.0582291806677827,0.008961088058248108,0.22033969427412403,0.18527094365030222,0.005003342692874524
0.11229615222865058,0.349489319648209,0.05838811371216786,0.007043035993422236,0.23756182237905482,0.22650001889937568,0.008721532839595907
0.12364676654912606,0.32416566080570003,0.043533313907930825,0.010041835526068582,0.2634999568292619,0.22507062761418753,0.010041835526068582
0.14685021649250632,0.2728423709012798,0.029846395191237465,0.009131861886819324,0.21798379188412864,0.3194284110537966,0.0039169486605264295
