commits,commit_count,forks,issue,issue_comment,req_closed,req_merged,req_opened,other
0.03136960705622511,0.16034607538884907,0.04512202871082372,0.0026918387979478434,0.06562729246420662,0.0976444532397414,0.1990662341171813,0.1990662341171813,0.1990662341171813
0.023029348727650525,0.15101783112784434,0.061152054010218546,0.004824592940789634,0.0929352030255614,0.09802479769388073,0.1896720568591114,0.1896720568591114,0.1896720568591114
0.05202027373081818,0.19055965949706175,0.03727534502340613,0.0028117807199924487,0.1101952382388376,0.1260822548712427,0.2393349328021669,0.0023855799209581137,0.2393349328021669
0.04370002969638578,0.171084314045026,0.06126737246075759,0.004188536188789142,0.08848623938587066,0.11802056286821372,0.171084314548038,0.171084314548038,0.171084314548038
0.028238573796823645,0.13772407277805596,0.051667640377977886,0.002950633287400106,0.07749323354730071,0.1014660801440721,0.2001532546889457,0.2001532546889457,0.2001532546889457
0.04196485625450164,0.19698472317227228,0.026617192624402167,0.0041759013309455445,0.04852447928036887,0.09077867411335686,0.19698472375143514,0.19698472375143514,0.19698472375143514
0.015745365527135426,0.2021790502535077,0.03206703238486383,0.005929836788285705,0.10684575792623871,0.1101209263165602,0.2622490255902552,0.0026139770004077524,0.2622490255902552
0.041961420656788234,0.16295215645650568,0.034302000179649086,0.009935533432249165,0.062447457302198445,0.07581746049306154,0.2041946564792004,0.2041946564792004,0.2041946564792004
0.04131867065996758,0.19325485720187183,0.05045682935424316,0.004747502784006665,0.09931789797944184,0.12304494305308729,0.24271998797738994,0.002419320585401873,0.24271998797738994
0.07950271510396391,0.1485916847558089,0.05370203565880892,0.006554946716385618,0.1071972246405865,0.1715030683266402,0.21540065427097788,0.0021470141018437782,0.21540065427097788
0.05665348619111577,0.2254389930178354,0.04042572748946724,0.0034199845040864727,0.12309910653905137,0.09783764234850821,0.2254389930178354,0.0022470716198749125,0.2254389930178354
0.07049932814057022,0.22913147973764195,0.04558827974250756,0.00942062066371989,0.07242162623658537,0.11239182844667713,0.22913147906396308,0.0022838766130569466,0.22913147906396308
0.049225184489064044,0.18157370746963433,0.028612462661361908,0.004021654923341133,0.06892182728142993,0.12292403734897166,0.18157370800348666,0.18157370800348666,0.18157370800348666
0.04513275592419009,0.1919909782959603,0.038112361664016346,0.003692252249549103,0.07713678914217437,0.06796192422287754,0.19199097886044084,0.19199097886044084,0.19199097886044084
0.03430246563970036,0.15748235838541685,0.014025130989542908,0.0035253587463537294,0.0928986293541399,0.10662744119198846,0.19704620457413194,0.19704620457413194,0.19704620457413194
0.0563636493035925,0.17464001354263517,0.022567618988218477,0.007347746188065639,0.10892381615737697,0.10623711344580568,0.17464001354263517,0.17464001354263517,0.17464001354263517
0.03279202266458066,0.250100886670662,0.020659464118160983,0.007805093394904205,0.07804454702297821,0.10790332031637197,0.250100886670662,0.0024928899700092178,0.250100886670662
0.039428382236088,0.2497012129485131,0.036841967706558204,0.0048840526629942635,0.09325846896158038,0.073994580883037,0.2497012129485131,0.002488906207190603,0.2497012129485131
0.0319170330582213,0.14942121048498488,0.017290228921881014,0.005621997491739576,0.06885626405924022,0.09328576666199644,0.21120249906997052,0.21120249906997052,0.21120249906997052
0.055475165835665106,0.13874821689891634,0.01966757468593241,0.0034638516589318292,0.08010927474408587,0.08769209436973739,0.2049479399190839,0.2049479399190839,0.2049479399190839
0.08684008419222919,0.26678297175944254,0.035451870611027975,0.008743217036258789,0.1064564280914042,0.126241021610903,0.18061006982584032,0.008264264379223892,0.18061006982584032
